mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 1 is correct?,It began in 1526 AD,It began in 1947 AD,It began in 1857 AD,It began in 1206 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 2 is correct?,It began in 1947 AD,It began in 1206 AD,It began in 1857 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 3 is correct?,It began in 1206 AD,It began in 1857 AD,It began in 1947 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 4 is correct?,It began in 1206 AD,It began in 1857 AD,It began in 1947 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 5 is correct?,It began in 1947 AD,It began in 1526 AD,It began in 1857 AD,It began in 1206 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 6 is correct?,It began in 1526 AD,It began in 1857 AD,It began in 1947 AD,It began in 1206 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 7 is correct?,It began in 1206 AD,It began in 1526 AD,It began in 1947 AD,It began in 1857 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 8 is correct?,It began in 1947 AD,It began in 1526 AD,It began in 1206 AD,It began in 1857 AD,2,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 9 is correct?,It began in 1947 AD,It began in 1206 AD,It began in 1526 AD,It began in 1857 AD,3,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 10 is correct?,It began in 1947 AD,It began in 1857 AD,It began in 1206 AD,It began in 1526 AD,4,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 11 is correct?,It began in 1857 AD,It began in 1947 AD,It began in 1526 AD,It began in 1206 AD,3,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
CGL Pre Mock 2,General Studies,Which of the following statements about Indian History question 12 is correct?,It began in 1526 AD,It began in 1947 AD,It began in 1206 AD,It began in 1857 AD,1,The Mughal Empire was established in 1526 AD by Babur.,2,0.5
